year,dish,category,revenue,qty,orders
2025,Черри 50 г,ДОПЫ,19910.042999999998,163.0,135
2025,25 гр Салями с трюфелем,ЗАКУСКИ,19908.5045,69.0,47
2025,Д.Ассорти брускетт 1 +,БАНКЕТЫ/ФУРШЕТЫ,19835.600000000002,9.0,9
2025,ДМ/Макарошки цветные с сыром,ДЕТСКОЕ МЕНЮ,19822.102000000003,67.0,62
2025,Мороженое Шоколад 50гр,ДЕСЕРТЫ,19782.653499999997,96.0,68
2025,ДМ/Пицца маргарита,ДЕТСКОЕ МЕНЮ,19755.7935,70.0,68
2025,Коктейль Сальвия,КОКТЕЙЛИ,19730.948,32.0,28
2025,"Д.Фреш 0,3 +",Д.БЕЗАЛКОГОЛЬНЫЕ НАПИТКИ,19706.400000000016,42.0,38
2025,Авокадо 50 г,ДОПЫ,19636.648999999998,98.5,82
2025,ДМ/Картофельное пюре,ДЕТСКОЕ МЕНЮ,19385.9415,82.0,71
2025,Креветки жареные 40 г,ДОПЫ,18980.415,68.0,39
2025,Д.Наполеон +,Д.ДЕСЕРТЫ,18931.2,32.0,28
2025,"Pompelmo 0,3",БЕЗАЛКОГОЛЬНЫЕ НАПИТКИ,18842.494000000002,58.0,56
2025,50 гр Грана падано,ЗАКУСКИ,18826.395,51.0,38
2025,Д.Сет-завтрак +,Д.ЗАВТРАКИ,18761.200000000008,22.0,22
