check_id,date,year,revenue,items_count,qty_total,categories_count,avg_item_price
98140,2026-02-05,2026,1788.3999999999996,5,5.0,4,357.67999999999995
98142,2026-02-05,2026,6936.0,12,15.0,11,462.4
98143,2026-02-05,2026,4454.0,6,8.0,6,556.75
98144,2026-02-05,2026,8695.5,10,12.0,7,724.625
98146,2026-02-05,2026,2065.5,4,4.0,4,516.375
98152,2026-02-05,2026,3612.5,6,6.0,6,602.0833333333334
98155,2026-02-05,2026,1929.5,5,5.0,4,385.9
98161,2026-02-05,2026,4522.0,7,7.0,5,646.0
98162,2026-02-05,2026,7284.5,9,10.0,7,728.45
98163,2026-02-05,2026,1547.0,4,4.0,3,386.75
98166,2026-02-05,2026,3021.75,3,4.0,3,755.4375
98167,2026-02-05,2026,5584.5,6,8.0,6,698.0625
98169,2026-02-05,2026,3153.5,7,7.0,5,450.5
98171,2026-02-05,2026,3272.5,4,4.0,3,818.125
98174,2026-02-05,2026,4726.0,8,8.0,6,590.75
98176,2026-02-05,2026,0.0,1,1.0,1,0.0
98182,2026-02-05,2026,4309.5,7,7.0,5,615.6428571428571
98183,2026-02-05,2026,0.0,1,2.0,1,0.0
98185,2026-02-05,2026,2325.6,5,5.0,5,465.12
98187,2026-02-05,2026,1054.0,2,2.0,2,527.0
98188,2026-02-05,2026,537.1999999999999,1,1.0,1,537.1999999999999
98191,2026-02-05,2026,5355.0,10,10.0,8,535.5
98192,2026-02-05,2026,850.0,3,3.0,2,283.3333333333333
98193,2026-02-05,2026,0.0,1,1.0,1,0.0
98194,2026-02-05,2026,4428.5,6,7.0,5,632.6428571428571
39909,2026-02-06,2026,3077.0,6,9.0,4,341.8888888888889
39911,2026-02-06,2026,2193.0,1,3.0,1,731.0
39912,2026-02-06,2026,1866.6,4,4.0,4,466.65
39915,2026-02-06,2026,476.0,1,1.0,1,476.0
39916,2026-02-06,2026,4207.5,7,7.0,5,601.0714285714286
39918,2026-02-06,2026,1742.5,2,2.0,1,871.25
39919,2026-02-06,2026,1430.55,2,2.0,1,715.275
39920,2026-02-06,2026,1667.7,2,2.0,1,833.85
39921,2026-02-06,2026,948.6,1,1.0,1,948.6
39922,2026-02-06,2026,1055.7,2,2.0,1,527.85
39923,2026-02-06,2026,1285.1999999999998,3,3.0,2,428.3999999999999
39930,2026-02-06,2026,719.1,1,1.0,1,719.1
39931,2026-02-06,2026,1981.35,3,3.0,3,660.4499999999999
39936,2026-02-06,2026,1713.6,2,2.0,2,856.8
39937,2026-02-06,2026,841.5,2,2.0,2,420.75
39938,2026-02-06,2026,2861.1,3,3.0,3,953.6999999999999
39944,2026-02-06,2026,1889.5499999999997,3,3.0,1,629.8499999999999
39945,2026-02-06,2026,1058.658,2,2.0,2,529.329
39946,2026-02-06,2026,2256.75,3,4.0,3,564.1875
39947,2026-02-06,2026,795.5999999999999,2,2.0,1,397.79999999999995
39948,2026-02-06,2026,2417.4,5,5.0,5,483.48
39949,2026-02-06,2026,2463.3,4,4.0,3,615.825
39951,2026-02-06,2026,1768.408,3,4.0,3,442.102
39953,2026-02-06,2026,1736.55,2,4.0,2,434.1375
39955,2026-02-06,2026,2470.95,3,3.0,3,823.65
39956,2026-02-06,2026,1385.5,2,5.0,1,277.1
39960,2026-02-06,2026,1402.5,1,1.0,1,1402.5
39961,2026-02-06,2026,1853.0,2,2.0,2,926.5
39963,2026-02-06,2026,2226.15,6,7.0,4,318.0214285714286
39965,2026-02-06,2026,2210.85,2,2.0,2,1105.425
39966,2026-02-06,2026,1660.05,2,2.0,2,830.025
39968,2026-02-06,2026,1897.2,1,2.0,1,948.6
39970,2026-02-06,2026,3247.0,7,7.0,5,463.85714285714283
39972,2026-02-06,2026,2499.0,2,2.0,1,1249.5
39974,2026-02-06,2026,4964.85,9,9.0,4,551.6500000000001
39977,2026-02-06,2026,3129.5215000000003,5,6.0,3,521.5869166666668
39978,2026-02-06,2026,1705.865,4,4.0,4,426.46625
39979,2026-02-06,2026,3832.6499999999996,5,5.0,5,766.53
39981,2026-02-06,2026,3840.3,6,8.0,5,480.0375
39982,2026-02-06,2026,4267.0,3,4.0,1,1066.75
39986,2026-02-06,2026,1935.4499999999998,4,4.0,4,483.86249999999995
39990,2026-02-06,2026,3503.7,7,9.0,3,389.29999999999995
39992,2026-02-06,2026,2855.3115,15,9.0,4,317.2568333333333
39995,2026-02-06,2026,4964.85,9,9.0,4,551.6500000000001
39996,2026-02-06,2026,2233.8,4,4.0,4,558.45
40003,2026-02-06,2026,4299.3,4,4.0,4,1074.825
40004,2026-02-06,2026,3782.5,5,5.0,3,756.5
40007,2026-02-06,2026,1670.607,2,2.0,1,835.3035
40008,2026-02-06,2026,1698.3,1,2.0,1,849.15
40009,2026-02-06,2026,619.65,2,2.0,2,309.825
40010,2026-02-06,2026,1705.9499999999998,2,2.0,2,852.9749999999999
40013,2026-02-06,2026,1743.078,2,8.0,2,217.88475
40014,2026-02-06,2026,3343.0499999999997,6,6.0,4,557.175
40015,2026-02-06,2026,3536.0,3,4.0,2,884.0
40020,2026-02-06,2026,1393.3539999999998,3,3.0,3,464.45133333333325
98197,2026-02-06,2026,1606.5,2,4.0,2,401.625
98198,2026-02-06,2026,4207.5,8,10.0,5,420.75
98200,2026-02-06,2026,3595.5,8,9.0,5,399.5
98201,2026-02-06,2026,3442.5,7,7.0,2,491.7857142857143
98204,2026-02-06,2026,1776.5,3,3.0,3,592.1666666666666
98205,2026-02-06,2026,4182.0,7,10.0,3,418.2
98206,2026-02-06,2026,858.5,2,2.0,2,429.25
98207,2026-02-06,2026,2063.375,9,8.25,4,250.1060606060606
98208,2026-02-06,2026,1768.0,4,5.0,3,353.6
98209,2026-02-06,2026,2873.0,6,9.0,4,319.22222222222223
98210,2026-02-06,2026,1649.0,5,5.0,3,329.8
98213,2026-02-06,2026,1445.0,3,3.0,2,481.6666666666667
98214,2026-02-06,2026,3094.0,10,12.0,5,257.8333333333333
98215,2026-02-06,2026,1054.0,2,5.0,2,210.8
98218,2026-02-06,2026,603.5,2,2.0,2,301.75
98219,2026-02-06,2026,1292.0,2,2.0,2,646.0
98223,2026-02-06,2026,1785.0,3,3.0,3,595.0
98228,2026-02-06,2026,4148.0,7,7.0,6,592.5714285714286
98229,2026-02-06,2026,2405.5,4,5.0,3,481.1
98230,2026-02-06,2026,3332.0,4,7.0,3,476.0
98232,2026-02-06,2026,4709.0,9,11.0,5,428.09090909090907
98236,2026-02-06,2026,3995.0,9,9.0,7,443.8888888888889
98238,2026-02-06,2026,8431.914999999999,11,17.0,11,495.99499999999995
98239,2026-02-06,2026,6324.0,17,24.0,12,263.5
98240,2026-02-06,2026,2235.5,3,4.0,3,558.875
98241,2026-02-06,2026,3111.0,7,8.0,5,388.875
98242,2026-02-06,2026,446.25,2,1.0,1,446.25
98243,2026-02-06,2026,816.0,3,3.0,3,272.0
98247,2026-02-06,2026,4471.0,7,8.0,6,558.875
98248,2026-02-06,2026,3281.0,5,6.0,4,546.8333333333334
98249,2026-02-06,2026,4207.5,8,8.0,7,525.9375
98251,2026-02-06,2026,2917.2,13,16.0,7,182.325
98253,2026-02-06,2026,2652.0,8,8.0,7,331.5
98255,2026-02-06,2026,1334.5,3,3.0,3,444.8333333333333
98256,2026-02-06,2026,3637.1499999999996,8,11.0,6,330.65
98257,2026-02-06,2026,1241.0,4,4.0,3,310.25
98258,2026-02-06,2026,340.0,1,2.0,1,170.0
98259,2026-02-06,2026,5261.5,8,9.0,7,584.6111111111111
98260,2026-02-06,2026,0.0,1,1.0,1,0.0
98261,2026-02-06,2026,1513.0,3,3.0,2,504.3333333333333
98262,2026-02-06,2026,1625.2,6,9.0,5,180.57777777777778
98264,2026-02-06,2026,833.0,2,2.0,2,416.5
98267,2026-02-06,2026,1878.5,3,3.0,3,626.1666666666666
98270,2026-02-06,2026,3039.5999999999995,7,7.0,5,434.22857142857134
98272,2026-02-06,2026,1198.5,2,2.0,2,599.25
98273,2026-02-06,2026,3658.3999999999996,8,9.0,7,406.4888888888888
98274,2026-02-06,2026,3485.0,5,7.0,4,497.85714285714283
98276,2026-02-06,2026,2907.0,5,5.0,5,581.4
98278,2026-02-06,2026,1887.0,4,4.0,3,471.75
98281,2026-02-06,2026,6927.5,10,11.0,5,629.7727272727273
98282,2026-02-06,2026,4870.5,9,11.0,5,442.77272727272725
98287,2026-02-06,2026,1217.2,4,5.0,4,243.44
98288,2026-02-06,2026,20170.5,16,22.0,12,916.8409090909091
98294,2026-02-06,2026,0.0,1,1.0,1,0.0
98295,2026-02-06,2026,3961.0,6,6.0,6,660.1666666666666
98297,2026-02-06,2026,6774.5,10,12.0,7,564.5416666666666
98299,2026-02-06,2026,11747.0,19,21.0,12,559.3809523809524
98300,2026-02-06,2026,8925.0,12,17.0,5,525.0
98301,2026-02-06,2026,1887.0,3,3.0,3,629.0
98302,2026-02-06,2026,3170.5,4,5.0,4,634.1
98303,2026-02-06,2026,1649.0,4,5.0,4,329.8
98305,2026-02-06,2026,6528.0,7,11.0,6,593.4545454545455
98308,2026-02-06,2026,24420.5,33,46.5,14,525.1720430107526
98310,2026-02-06,2026,3323.5,5,5.0,3,664.7
98312,2026-02-06,2026,2269.5,4,4.0,3,567.375
98314,2026-02-06,2026,2201.5,2,3.0,2,733.8333333333334
98315,2026-02-06,2026,9146.0,11,14.0,9,653.2857142857143
98317,2026-02-06,2026,2643.5,3,5.0,3,528.7
98319,2026-02-06,2026,1861.5,2,3.0,2,620.5
98322,2026-02-06,2026,2944.3999999999996,7,7.0,5,420.6285714285714
98326,2026-02-06,2026,5686.5,5,7.0,5,812.3571428571429
98331,2026-02-06,2026,5389.000000000001,10,13.0,5,414.5384615384616
98333,2026-02-06,2026,2282.25,5,6.0,4,380.375
98335,2026-02-06,2026,7258.999999999999,11,14.0,6,518.4999999999999
98341,2026-02-06,2026,3722.9999999999995,7,8.0,5,465.37499999999994
98343,2026-02-06,2026,2278.0,5,5.0,3,455.6
98345,2026-02-06,2026,2558.5,4,4.0,4,639.625
98348,2026-02-06,2026,0.0,1,1.0,1,0.0
98352,2026-02-06,2026,2065.5,3,3.0,3,688.5
98353,2026-02-06,2026,7828.5,9,11.0,7,711.6818181818181
98354,2026-02-06,2026,484.5,1,3.0,1,161.5
98359,2026-02-06,2026,6001.0,11,14.0,9,428.64285714285717
40023,2026-02-07,2026,948.6,1,1.0,1,948.6
40027,2026-02-07,2026,1904.85,2,3.0,1,634.9499999999999
40030,2026-02-07,2026,2371.5,5,6.0,2,395.25
40031,2026-02-07,2026,2027.25,3,3.0,1,675.75
40033,2026-02-07,2026,2677.5,2,4.0,1,669.375
40034,2026-02-07,2026,1904.0,7,8.0,3,238.0
40035,2026-02-07,2026,4536.45,8,9.0,4,504.04999999999995
40038,2026-02-07,2026,680.85,1,1.0,1,680.85
40039,2026-02-07,2026,3580.2000000000003,5,10.0,3,358.02000000000004
40043,2026-02-07,2026,12454.2,15,22.0,10,566.1
40047,2026-02-07,2026,1874.25,1,5.0,1,374.85
40050,2026-02-07,2026,3228.2999999999997,3,4.0,2,807.0749999999999
40053,2026-02-07,2026,2821.779,7,13.0,2,217.05992307692307
40054,2026-02-07,2026,1943.1,4,5.0,3,388.62
40058,2026-02-07,2026,3786.75,6,6.0,5,631.125
40059,2026-02-07,2026,2864.5,6,6.0,5,477.4166666666667
40061,2026-02-07,2026,0.0,6,0.0,3,
40065,2026-02-07,2026,15544.799999999997,6,6.0,3,2590.7999999999997
40066,2026-02-07,2026,2439.5,6,6.0,5,406.5833333333333
40069,2026-02-07,2026,1583.55,1,1.0,1,1583.55
40071,2026-02-07,2026,3725.55,3,5.0,3,745.11
40072,2026-02-07,2026,841.5,2,2.0,2,420.75
40073,2026-02-07,2026,5491.0,6,10.0,4,549.1
40074,2026-02-07,2026,2945.25,2,3.0,2,981.75
40075,2026-02-07,2026,2317.95,3,3.0,3,772.65
40077,2026-02-07,2026,334.5515,1,1.0,1,334.5515
40080,2026-02-07,2026,4712.4,4,5.0,3,942.4799999999999
40083,2026-02-07,2026,3649.0499999999997,6,7.0,5,521.2928571428571
40085,2026-02-07,2026,573.75,2,2.0,2,286.875
40086,2026-02-07,2026,1351.5,1,1.0,1,1351.5
40088,2026-02-07,2026,1776.5,4,3.0,2,592.1666666666666
40089,2026-02-07,2026,2160.2835,5,6.0,4,360.04725
40090,2026-02-07,2026,1468.8,2,2.0,2,734.4
40091,2026-02-07,2026,1185.75,2,2.0,2,592.875
40093,2026-02-07,2026,3111.0,5,6.0,3,518.5
40094,2026-02-07,2026,1889.5500000000002,6,6.0,5,314.925
40095,2026-02-07,2026,1331.1,2,2.0,1,665.55
40098,2026-02-07,2026,2287.35,4,4.0,4,571.8375
40100,2026-02-07,2026,2932.5594999999994,5,8.0,4,366.5699374999999
40104,2026-02-07,2026,4148.0,4,4.0,1,1037.0
40105,2026-02-07,2026,2899.35,3,3.0,3,966.4499999999999
40106,2026-02-07,2026,2050.2,5,5.0,5,410.03999999999996
40108,2026-02-07,2026,2757.2214999999997,5,7.0,4,393.8887857142857
40109,2026-02-07,2026,2665.3705,5,8.0,2,333.1713125
40111,2026-02-07,2026,2463.1639999999998,3,4.0,3,615.7909999999999
40112,2026-02-07,2026,895.05,2,2.0,2,447.525
40113,2026-02-07,2026,714.0,3,2.0,2,357.0
40114,2026-02-07,2026,1185.7499999999998,4,4.0,2,296.43749999999994
40117,2026-02-07,2026,1793.0324999999998,4,4.0,3,448.25812499999995
40118,2026-02-07,2026,4794.0,5,5.0,5,958.8
40119,2026-02-07,2026,1996.65,2,2.0,2,998.325
40120,2026-02-07,2026,3694.95,4,4.0,4,923.7375
40125,2026-02-07,2026,1048.05,1,1.0,1,1048.05
40127,2026-02-07,2026,2218.5,4,4.0,4,554.625
98361,2026-02-07,2026,2150.5,4,4.0,3,537.625
98362,2026-02-07,2026,722.5,2,2.0,2,361.25
98363,2026-02-07,2026,3604.0,5,7.0,3,514.8571428571429
98367,2026-02-07,2026,5276.621500000001,11,12.0,5,439.71845833333344
98370,2026-02-07,2026,1853.0,4,4.0,2,463.25
98371,2026-02-07,2026,2298.4,5,6.0,2,383.06666666666666
98373,2026-02-07,2026,1351.5,4,4.0,3,337.875
98376,2026-02-07,2026,943.5,2,2.0,2,471.75
98377,2026-02-07,2026,2101.2,6,6.0,5,350.2
98378,2026-02-07,2026,33014.0,34,41.0,16,805.219512195122
98382,2026-02-07,2026,2023.4249999999997,3,5.0,3,404.68499999999995
98384,2026-02-07,2026,4420.0,7,8.0,5,552.5
98385,2026-02-07,2026,2754.0,6,6.0,4,459.0
